rank,school,conf,asscoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
1,Auburn,SEC,Will Muschamp,1600000.0,0.0,1600000.0,130000.0,5341900.0,Power Five
2,LSU,SEC,Cam Cameron,1500000.0,19734.0,1519734.0,115000.0,5471236.0,Power Five
3,Alabama,SEC,Kirby Smart,1500000.0,1500.0,1501500.0,250000.0,5227090.0,Power Five
4,Texas A&M,SEC,John Chavis,1500000.0,,1500000.0,180000.0,4419360.0,Power Five
5,Clemson,ACC,Brent Venables,1404807.0,1300.0,1406107.0,95000.0,4329606.0,Power Five
6,Louisville,ACC,Todd Grantham,1300000.0,3000.0,1303000.0,108333.0,3779800.0,Power Five
7,Georgia,SEC,Jeremy Pruitt,1300000.0,0.0,1300000.0,225000.0,4807200.0,Power Five
8,Central Florida,AAC,Brent Key,1040568.0,,1040568.0,28381.0,2754694.0,Others
9,LSU,SEC,Kevin Steele,1005000.0,,1005000.0,125000.0,5471236.0,Power Five
10,Baylor,Big 12,Phil Bennett,980415.0,1125.0,981540.0,,,Power Five
11,Georgia,SEC,Brian Schottenheimer,957200.0,,957200.0,225000.0,4807200.0,Power Five
12,Arizona State,Pac-12,Mike Norvell,950000.0,85.0,950085.0,490000.0,3169740.0,Power Five
13,Virginia Tech,ACC,Bud Foster,900000.0,10000.0,910000.0,92500.0,3257690.0,Power Five
14,Maryland,Big Ten,Mike Locksley,891940.0,7000.0,898940.0,110000.0,2783060.0,Power Five
15,Michigan,Big Ten,Tim Drevno,880000.0,,880000.0,133333.0,4248667.0,Power Five
16,Michigan,Big Ten,D.J. Durkin,880000.0,,880000.0,133333.0,4248667.0,Power Five
17,UCLA,Pac-12,Noel Mazzone,860000.0,4000.0,864000.0,100000.0,3969000.0,Power Five
18,Oklahoma,Big 12,Mike Stoops,850000.0,7400.0,857400.0,112000.0,3768500.0,Power Five
19,Louisville,ACC,Garrick McGee,850000.0,4000.0,854000.0,70833.0,3779800.0,Power Five
20,Texas,Big 12,Vance Bedford,800000.0,500.0,800500.0,185000.0,3906100.0,Power Five
21,UCLA,Pac-12,Adrian Klemm,760000.0,0.0,760000.0,100000.0,3969000.0,Power Five
22,Oregon,Pac-12,Scott Frost,755000.0,,755000.0,375000.0,3695000.0,Power Five
