rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
1,Alabama,SEC,Nick Saban,6950203.0,209984.0,7160187.0,700000.0,5213400.0,Power Five
2,Michigan State,Big Ten,Mark Dantonio,5611845.0,24300.0,5636145.0,650000.0,3205702.0,Power Five
3,Oklahoma,Big 12,Bob Stoops,5058333.0,0.0,5058333.0,819500.0,4077900.0,Power Five
4,Texas A&M,SEC,Kevin Sumlin,5000000.0,6000.0,5006000.0,750000.0,3484050.0,Power Five
5,Texas,Big 12,Charlie Strong,5000000.0,270.0,5000270.0,1000000.0,3841640.0,Power Five
6,Ohio State,Big Ten,Urban Meyer,4486640.0,50000.0,4536640.0,550000.0,3592025.0,Power Five
7,LSU,SEC,Les Miles,4300000.0,69582.0,4369582.0,700000.0,5499269.0,Power Five
8,Penn State,Big Ten,James Franklin,4300000.0,,4300000.0,1000000.0,,Power Five
9,Iowa,Big Ten,Kirk Ferentz,4075000.0,0.0,4075000.0,1750000.0,2772186.0,Power Five
10,South Carolina,SEC,Steve Spurrier,4000000.0,16900.0,4016900.0,1700000.0,3333800.0,Power Five
11,Texas Christian,Big 12,Gary Patterson,4008150.0,,4008150.0,,,Power Five
12,Auburn,SEC,Gus Malzahn,3850000.0,4500.0,3854500.0,1400000.0,4370000.0,Power Five
13,Washington,PAC-12,Chris Petersen,3681720.0,0.0,3681720.0,1175000.0,3250032.0,Others
14,Florida State,ACC,Jimbo Fisher,3591667.0,0.0,3591667.0,1275000.0,3386000.0,Power Five
15,Oklahoma State,Big 12,Mike Gundy,3500000.0,,3500000.0,550000.0,2837000.0,Power Five
16,Missouri,SEC,Gary Pinkel,3400000.0,0.0,3400000.0,1825000.0,3169000.0,Power Five
17,Georgia,SEC,Mark Richt,3200000.0,114000.0,3314000.0,1000000.0,3327800.0,Power Five
18,Arizona,PAC-12,Rich Rodriguez,2898500.0,400000.0,3298500.0,2125000.0,2498650.0,Others
19,UCLA,PAC-12,Jim Mora,3250000.0,0.0,3250000.0,930000.0,3762500.0,Others
20,Arkansas,SEC,Bret Bielema,3200000.0,14000.0,3214000.0,700000.0,3218800.0,Power Five
21,Clemson,ACC,Dabo Swinney,3150000.0,25100.0,3175100.0,1200000.0,4448225.0,Power Five
22,Baylor,Big 12,Art Briles,3135146.0,,3135146.0,,1402571.0,Power Five
23,West Virginia,Big 12,Dana Holgorsen,3080000.0,0.0,3080000.0,600000.0,2884000.0,Power Five
24,Nebraska,Big Ten,Bo Pelini,3077646.0,,3077646.0,1000000.0,2709538.0,Power Five
25,Mississippi,SEC,Hugh Freeze,3000000.0,18000.0,3018000.0,825000.0,2596000.0,Power Five
26,Louisville,ACC,Bobby Petrino,3000000.0,,3000000.0,1266667.0,3225000.0,Power Five
27,Mississippi State,SEC,Dan Mullen,3000000.0,0.0,3000000.0,710000.0,2682500.0,Power Five
28,Tennessee,SEC,Butch Jones,2960000.0,0.0,2960000.0,1000000.0,3265000.0,Power Five
29,Kansas State,Big 12,Bill Snyder,2900000.0,0.0,2900000.0,580000.0,2813325.0,Power Five
30,Michigan,Big Ten,Brady Hoke,2854000.0,2000.0,2856000.0,575000.0,3504323.0,Power Five
31,Washington State,PAC-12,Mike Leach,2750000.0,0.0,2750000.0,625000.0,2309124.0,Others
32,Florida,SEC,Will Muschamp,2724500.0,6500.0,2731000.0,454000.0,3225900.0,Power Five
33,Arizona State,PAC-12,Todd Graham,2700000.0,2960.0,2702960.0,3491000.0,3111620.0,Others
34,Kentucky,SEC,Mark Stoops,2700000.0,1600.0,2701600.0,1475000.0,2715700.0,Power Five
35,Virginia Tech,ACC,Frank Beamer,2420913.0,240000.0,2660913.0,382500.0,3583250.0,Power Five
36,Texas Tech,Big 12,Kliff Kingsbury,2605000.0,300.0,2605300.0,1500000.0,2155100.0,Power Five
37,Georgia Tech,ACC,Paul Johnson,2588000.0,2500.0,2590500.0,1275000.0,2233600.0,Power Five
38,Kansas,Big 12,Charlie Weis,2500000.0,0.0,2500000.0,765000.0,2105000.0,Power Five
39,Northwestern,Big Ten,Pat Fitzgerald,2480967.0,,2480967.0,,,Power Five
40,Virginia,ACC,Mike London,2298413.0,5186.0,2303599.0,715000.0,2908670.0,Power Five
41,Wisconsin,Big Ten,Gary Andersen,2200000.0,85000.0,2285000.0,440000.0,2368600.0,Power Five
42,Miami,ACC,Al Golden,2250943.0,,2250943.0,,,Power Five
43,Utah,PAC-12,Kyle Whittingham,2200000.0,,2200000.0,740000.0,2420000.0,Others
44,Cincinnati,AAC,Tommy Tuberville,2200000.0,0.0,2200000.0,565000.0,1837179.0,Others
45,Minnesota,Big Ten,Jerry Kill,2100000.0,,2100000.0,1150000.0,2757000.0,Power Five
46,Purdue,Big Ten,Darrell Hazell,2090000.0,,2090000.0,1545000.0,2095000.0,Power Five
47,Maryland,Big Ten,Randy Edsall,2033680.0,200.0,2033880.0,950000.0,2588460.0,Power Five
48,Southern Methodist,AAC,June Jones,2019718.0,,2019718.0,,,Others
49,Stanford,PAC-12,David Shaw,2012666.0,,2012666.0,,,Others
50,Colorado,PAC-12,Mike MacIntyre,2008500.0,1650.0,2010150.0,1500000.0,2595500.0,Others
51,Oregon,PAC-12,Mark Helfrich,2000000.0,,2000000.0,1135000.0,3277584.0,Others
52,Illinois,Big Ten,Tim Beckman,1950000.0,250.0,1950250.0,80000.0,2187825.0,Power Five
53,Duke,ACC,David Cutcliffe,1840341.0,,1840341.0,,,Power Five
54,North Carolina,ACC,Larry Fedora,1830000.0,,1830000.0,345835.0,2051667.0,Power Five
55,Iowa State,Big 12,Paul Rhoads,1800000.0,8025.0,1808025.0,1050000.0,2110900.0,Power Five
56,California,PAC-12,Sonny Dykes,1800000.0,8000.0,1808000.0,304000.0,2081600.0,Others
57,North Carolina State,ACC,Dave Doeren,1800000.0,,1800000.0,1000000.0,2692560.0,Power Five
58,Central Florida,AAC,George O'Leary,1800000.0,0.0,1800000.0,750000.0,1831614.0,Others
59,Pittsburgh,ACC,Paul Chryst,1578757.0,,1578757.0,,,Power Five
60,Navy,Ind.,Ken Niumatalolo,1574810.0,,1574810.0,,,Others
61,Oregon State,PAC-12,Mike Riley,1510008.0,,1510008.0,369000.0,2347200.0,Others
62,Connecticut,AAC,Bob Diaco,1500000.0,,1500000.0,450000.0,1858000.0,Others
63,Colorado State,Mt. West,Jim McElwain,1500000.0,,1500000.0,150000.0,1627493.0,Others
64,Notre Dame,Ind.,Brian Kelly,1457284.0,,1457284.0,,,Others
65,Fresno State,Mt. West,Tim DeRuyter,1400000.0,35000.0,1435000.0,1685000.0,1277508.0,Others
66,Indiana,Big Ten,Kevin Wilson,1301644.0,,1301644.0,1130000.0,2224500.0,Power Five
67,East Carolina,AAC,Ruffin McNeill,1250000.0,2500.0,1252500.0,550000.0,1419450.0,Others
68,South Florida,AAC,Willie Taggart,1150000.0,32000.0,1182000.0,650000.0,1860400.0,Others
69,Houston,AAC,Tony Levine,1025000.0,300.0,1025300.0,422500.0,1820000.0,Others
70,Memphis,AAC,Justin Fuente,1006779.0,0.0,1006779.0,725000.0,2043178.0,Others
71,Louisiana-Lafayette,Sun Belt,Mark Hudspeth,1000000.0,3156.0,1003156.0,155000.0,1064500.0,Others
72,Boise State,Mt. West,Bryan Harsin,1000004.0,,1000004.0,400000.0,2052650.0,Others
73,Rutgers,Big Ten,Kyle Flood,975000.0,12000.0,987000.0,350000.0,2445200.0,Power Five
74,Air Force,Mt. West,Troy Calhoun,866250.0,26500.0,892750.0,247500.0,1467500.0,Others
75,Tulane,AAC,Curtis Johnson,867000.0,,867000.0,,,Others
76,Nevada-Las Vegas,Mt. West,Bobby Hauck,850000.0,0.0,850000.0,285000.0,1197392.0,Others
77,Army,Ind.,Jeff Monken,834667.0,,834667.0,256000.0,2326450.0,Others
78,Wyoming,Mt. West,Craig Bohl,832000.0,0.0,832000.0,330000.0,1320726.0,Others
