rank,school,conf,astcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
1,Auburn,SEC,Will Muschamp,1600000.0,0.0,1600000.0,130000.0,5341900.0,Power Five,yes,0.2995188977704562
2,LSU,SEC,Cam Cameron,1500000.0,19734.0,1519734.0,115000.0,5471236.0,Power Five,yes,0.2741610853562157
3,Alabama,SEC,Kirby Smart,1500000.0,1500.0,1501500.0,250000.0,5227090.0,Power Five,yes,0.286966553091682
4,Texas A&M,SEC,John Chavis,1500000.0,,1500000.0,180000.0,4419360.0,Power Five,yes,0.3394156619963072
5,Clemson,ACC,Brent Venables,1404807.0,1300.0,1406107.0,95000.0,4329606.0,Power Five,yes,0.3244653208629146
6,Louisville,ACC,Todd Grantham,1300000.0,3000.0,1303000.0,108333.0,3779800.0,Power Five,yes,0.34393354145721994
7,Georgia,SEC,Jeremy Pruitt,1300000.0,0.0,1300000.0,225000.0,4807200.0,Power Five,yes,0.27042769179563986
8,Central Florida,AAC,Brent Key,1040568.0,,1040568.0,28381.0,2754694.0,Others,yes,0.37774358966912475
9,LSU,SEC,Kevin Steele,1005000.0,,1005000.0,125000.0,5471236.0,Power Five,yes,0.1836879271886645
10,Baylor,Big 12,Phil Bennett,980415.0,1125.0,981540.0,,,Power Five,no,
11,Georgia,SEC,Brian Schottenheimer,957200.0,,957200.0,225000.0,4807200.0,Power Five,yes,0.19911798968214345
12,Arizona State,Pac-12,Mike Norvell,950000.0,85.0,950085.0,490000.0,3169740.0,Power Five,yes,0.2997091244076801
13,Virginia Tech,ACC,Bud Foster,900000.0,10000.0,910000.0,92500.0,3257690.0,Power Five,yes,0.2762693810644966
14,Maryland,Big Ten,Mike Locksley,891940.0,7000.0,898940.0,110000.0,2783060.0,Power Five,yes,0.3204889581970924
15,Michigan,Big Ten,Tim Drevno,880000.0,,880000.0,133333.0,4248667.0,Power Five,yes,0.20712378729610958
16,Michigan,Big Ten,D.J. Durkin,880000.0,,880000.0,133333.0,4248667.0,Power Five,yes,0.20712378729610958
17,UCLA,Pac-12,Noel Mazzone,860000.0,4000.0,864000.0,100000.0,3969000.0,Power Five,yes,0.2166792642983119
18,Oklahoma,Big 12,Mike Stoops,850000.0,7400.0,857400.0,112000.0,3768500.0,Power Five,yes,0.22555393392596523
19,Louisville,ACC,Garrick McGee,850000.0,4000.0,854000.0,70833.0,3779800.0,Power Five,yes,0.22487962326048996
20,Texas,Big 12,Vance Bedford,800000.0,500.0,800500.0,185000.0,3906100.0,Power Five,yes,0.20480786462200148
21,UCLA,Pac-12,Adrian Klemm,760000.0,0.0,760000.0,100000.0,3969000.0,Power Five,yes,0.19148400100781054
22,Oregon,Pac-12,Scott Frost,755000.0,,755000.0,375000.0,3695000.0,Power Five,yes,0.20433017591339647
23,South Carolina,SEC,Lorenzo Ward,750000.0,2400.0,752400.0,130555.0,3995600.0,Power Five,yes,0.18770647712483732
24,South Carolina,SEC,Jon Hoke,750000.0,2400.0,752400.0,130500.0,3995600.0,Power Five,yes,0.18770647712483732
25,Arkansas,SEC,Robb Smith,750000.0,2000.0,752000.0,250000.0,3529550.0,Power Five,yes,0.21249167740930147
26,Georgia Tech,ACC,Ted Roof,750000.0,0.0,750000.0,112500.0,2504665.0,Power Five,yes,0.29944124264123145
27,Oregon State,Pac-12,Kalani Sitake,730008.0,,730008.0,166111.0,2640300.0,Power Five,yes,0.27648676286785595
28,Mississippi,SEC,Dave Wommack,725000.0,800.0,725800.0,87000.0,3091000.0,Power Five,yes,0.234551924943384
29,Florida,SEC,Geoff Collins,701500.0,,701500.0,236000.0,3728500.0,Power Five,yes,0.18814536676947835
30,Alabama,SEC,Lane Kiffin,680000.0,0.0,680000.0,149600.0,5227090.0,Power Five,yes,0.13009150406822917
31,LSU,SEC,Frank Wilson,660000.0,16067.0,676067.0,75000.0,5471236.0,Power Five,yes,0.12063087755673489
32,Missouri,SEC,Josh Henson,675000.0,0.0,675000.0,230417.0,3630000.0,Power Five,yes,0.1859504132231405
33,Arizona,Pac-12,Jeff Casteel,660000.0,10500.0,670500.0,55000.0,3036400.0,Power Five,yes,0.21736266631537346
34,West Virginia,Big 12,Tony Gibson,650000.0,0.0,650000.0,67500.0,2801000.0,Power Five,yes,0.2320599785790789
35,Texas,Big 12,Shawn Watson,650000.0,0.0,650000.0,180000.0,3906100.0,Power Five,yes,0.16640639000537621
36,Ohio State,Big Ten,Luke Fickell,640000.0,0.0,640000.0,244800.0,4021950.0,Power Five,yes,0.15912679173037955
37,Missouri,SEC,Barry Odom,625000.0,0.0,625000.0,213750.0,3630000.0,Power Five,yes,0.1721763085399449
38,Minnesota,Big Ten,Tracy Claeys,616000.0,,616000.0,164000.0,2932000.0,Power Five,yes,0.2100954979536153
39,Michigan,Big Ten,Greg Mattison,606667.0,,606667.0,0.0,4248667.0,Power Five,yes,0.1427899621222374
40,Auburn,SEC,Rhett Lashlee,600000.0,3500.0,603500.0,235000.0,5341900.0,Power Five,yes,0.11231958666392107
41,Auburn,SEC,Rodney Garner,600000.0,3500.0,603500.0,220000.0,5341900.0,Power Five,yes,0.11231958666392107
42,Florida,SEC,Randy Shannon,601500.0,,601500.0,156000.0,3728500.0,Power Five,yes,0.16132492959635242
43,Ohio State,Big Ten,Ed Warinner,600000.0,0.0,600000.0,229500.0,4021950.0,Power Five,yes,0.14918136724723083
44,Florida State,ACC,Rick Trickett,583000.0,4900.0,587900.0,102167.0,4284800.0,Power Five,yes,0.13606235997012697
45,Florida State,ACC,Randy Sanders,583000.0,3000.0,586000.0,104667.0,4284800.0,Power Five,yes,0.13606235997012697
46,Florida State,ACC,Charles Kelly,583000.0,0.0,583000.0,90833.0,4284800.0,Power Five,yes,0.13606235997012697
47,Ohio State,Big Ten,Chris Ash,580000.0,,580000.0,221850.0,4021950.0,Power Five,yes,0.14420865500565647
48,Kentucky,SEC,D.J. Eliot,575000.0,1400.0,576400.0,95833.0,3007200.0,Power Five,yes,0.19120776802341047
49,Texas,Big 12,Joe Wickline,575000.0,0.0,575000.0,185000.0,3906100.0,Power Five,yes,0.14720565269706357
50,Mississippi State,SEC,Manny Diaz,575000.0,0.0,575000.0,47917.0,3287500.0,Power Five,yes,0.17490494296577946
51,Wisconsin,Big Ten,Joe Rudolph,570000.0,,570000.0,132000.0,2632200.0,Power Five,yes,0.21654889446090722
52,Minnesota,Big Ten,Matt Limegrover,566000.0,,566000.0,151500.0,2932000.0,Power Five,yes,0.19304229195088676
53,North Carolina State,ACC,Matt Canada,560000.0,,560000.0,195000.0,2888625.0,Power Five,yes,0.19386386256436886
54,California,Pac-12,Art Kaufman,550000.0,3000.0,553000.0,75000.0,2506600.0,Power Five,yes,0.21942072927471476
55,Auburn,SEC,Travaris Robinson,550000.0,0.0,550000.0,130000.0,5341900.0,Power Five,yes,0.10295962110859432
56,Oklahoma State,Big 12,Glenn Spencer,550000.0,,550000.0,116667.0,2915476.0,Power Five,yes,0.188648440254696
