rank,school,conf,astcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
1,Virginia Tech,ACC,Bud Foster,1356500.0,13000.0,1369500.0,82500.0,3583250.0,Power Five,yes,0.37856694341728875
2,Alabama,SEC,Kirby Smart,1350000.0,5850.0,1355850.0,250000.0,5213400.0,Power Five,yes,0.2589480952928991
3,LSU,SEC,Cam Cameron,1300000.0,15967.0,1315967.0,115000.0,5499269.0,Power Five,yes,0.23639505541554706
4,LSU,SEC,John Chavis,1300000.0,12300.0,1312300.0,115000.0,5499269.0,Power Five,yes,0.23639505541554706
5,Clemson,ACC,Chad Morris,1300000.0,1250.0,1301250.0,120417.0,4448225.0,Power Five,yes,0.2922514036497704
6,Louisville,ACC,Todd Grantham,975000.0,,975000.0,0.0,3225000.0,Power Five,yes,0.3023255813953488
7,Michigan State,Big Ten,Pat Narduzzi,905033.0,2000.0,907033.0,0.0,3205702.0,Power Five,yes,0.282319753988362
8,Arizona State,PAC-12,Mike Norvell,900000.0,1560.0,901560.0,490000.0,3111620.0,Power Five,yes,0.28923840314691385
9,Baylor,Big 12,Phil Bennett,897926.0,,897926.0,,,Power Five,no,
10,Michigan,Big Ten,Greg Mattison,888333.0,0.0,888333.0,150000.0,3504323.0,Power Five,yes,0.2534963243970376
11,Clemson,ACC,Brent Venables,875000.0,0.0,875000.0,95000.0,4448225.0,Power Five,yes,0.19670767553349933
12,Oklahoma,Big 12,Mike Stoops,850000.0,6400.0,856400.0,112000.0,4077900.0,Power Five,yes,0.20844061894602614
13,Georgia,SEC,Jeremy Pruitt,851600.0,,851600.0,210000.0,3327800.0,Power Five,yes,0.2559048019712723
14,Auburn,SEC,Ellis Johnson,850000.0,,850000.0,252500.0,4370000.0,Power Five,yes,0.1945080091533181
15,Michigan,Big Ten,Doug Nussmeier,830000.0,,830000.0,150000.0,3504323.0,Power Five,yes,0.23685031317033275
16,Texas,Big 12,Vance Bedford,800000.0,500.0,800500.0,185000.0,3841640.0,Power Five,yes,0.2082443956227028
17,UCLA,PAC-12,Noel Mazzone,760000.0,2000.0,762000.0,100000.0,3762500.0,Power Five,yes,0.2019933554817276
18,Virginia,ACC,Tom O'Brien,751500.0,6470.0,757970.0,261250.0,2908670.0,Power Five,yes,0.2583655072593316
19,South Carolina,SEC,Lorenzo Ward,750000.0,5450.0,755450.0,130555.0,3333800.0,Power Five,yes,0.22496850440938268
20,UCLA,PAC-12,Adrian Klemm,723000.0,0.0,723000.0,100000.0,3762500.0,Power Five,yes,0.1921594684385382
21,Nebraska,Big Ten,Tim Beck,715281.0,,715281.0,286112.0,2709538.0,Power Five,yes,0.2639863327253576
22,Texas A&M,SEC,Mark Snyder,708000.0,0.0,708000.0,140000.0,3484050.0,Power Five,yes,0.20321177939467
23,Alabama,SEC,Kevin Steele,700000.0,2750.0,702750.0,154000.0,5213400.0,Power Five,yes,0.13426938274446618
24,Florida,SEC,Kurt Roper,700000.0,,700000.0,237500.0,3225900.0,Power Five,yes,0.2169937071824917
25,Alabama,SEC,Lane Kiffin,680000.0,0.0,680000.0,149600.0,5213400.0,Power Five,yes,0.13043311466605287
26,LSU,SEC,Frank Wilson,650000.0,15967.0,665967.0,70000.0,5499269.0,Power Five,yes,0.11819752770777353
27,Texas,Big 12,Shawn Watson,650000.0,0.0,650000.0,180000.0,3841640.0,Power Five,yes,0.16919857144344602
28,Louisville,ACC,Garrick McGee,650000.0,,650000.0,0.0,3225000.0,Power Five,yes,0.20155038759689922
29,Maryland,Big Ten,Mike Locksley,625000.0,7000.0,632000.0,110000.0,2588460.0,Power Five,yes,0.24145630992945613
30,Georgia Tech,ACC,Ted Roof,622000.0,1000.0,623000.0,97666.0,2233600.0,Power Five,yes,0.27847421203438394
31,Oklahoma,Big 12,Josh Heupel,605000.0,7400.0,612400.0,86500.0,4077900.0,Power Five,yes,0.1483606758380539
32,West Virginia,Big 12,Tom Bradley,601000.0,,601000.0,67500.0,2884000.0,Power Five,yes,0.20839112343966712
33,Minnesota,Big Ten,Tracy Claeys,600000.0,,600000.0,160000.0,2757000.0,Power Five,yes,0.2176278563656148
