rank,school,conf,astcoach,schoolpay,totalpay,maxbonus,stafftotal,buyout,category,complete,proportion
1,LSU,SEC,Dave Aranda,1800000.0,1800000.0,150000.0,5915000.0,nan,Power Five,yes,0.3043110735418428
2,Clemson,ACC,Brent Venables,1700000.0,1700000.0,295000.0,5725000.0,nan,Power Five,yes,0.29694323144104806
3,Texas A&M,SEC,John Chavis,1608000.0,1608000.0,180000.0,4818000.0,nan,Power Five,yes,0.33374844333748444
4,LSU,SEC,Matt Canada,1505000.0,1505000.0,150000.0,5915000.0,nan,Power Five,yes,0.25443786982248523
5,Michigan,Big Ten,Don Brown,1300000.0,1300000.0,166667.0,5645000.0,nan,Power Five,yes,0.23029229406554472
6,Alabama,SEC,Jeremy Pruitt,1300000.0,1300000.0,286000.0,5995000.0,nan,Power Five,yes,0.21684737281067556
7,Alabama,SEC,Brian Daboll,1200000.0,1200000.0,264000.0,5995000.0,nan,Power Five,yes,0.20016680567139283
8,Auburn,SEC,Kevin Steele,1200000.0,1200000.0,102500.0,4875000.0,nan,Power Five,yes,0.24615384615384617
9,Tennessee,SEC,Bob Shoop,1155000.0,1155000.0,120000.0,4655400.0,nan,Power Five,yes,0.2480989818275551
10,Oregon,Pac-12,Jim Leavitt,1150000.0,1150000.0,100000.0,3945000.0,nan,Power Five,yes,0.2915082382762991
11,Michigan,Big Ten,Tim Drevno,1150000.0,1150000.0,166667.0,5645000.0,nan,Power Five,yes,0.20372010628875112
12,Michigan,Big Ten,Pep Hamilton,1150000.0,1150000.0,333333.0,5645000.0,nan,Power Five,yes,0.20372010628875112
13,Florida,SEC,Doug Nussmeier,1144225.0,1144225.0,457089.0,4997825.0,nan,Power Five,yes,0.22894459089704022
14,Texas,Big 12,Todd Orlando,1100000.0,1100000.0,95000.0,4600000.0,nan,Power Five,yes,0.2391304347826087
15,Mississippi,SEC,Wesley McGriff,1000000.0,1000000.0,0.0,4075000.0,nan,Power Five,yes,0.24539877300613497
16,Florida,SEC,Randy Shannon,976500.0,976500.0,390000.0,4997825.0,nan,Power Five,yes,0.1953849924717252
17,Virginia Tech,ACC,Bud Foster,950000.0,961000.0,92500.0,3384000.0,nan,Power Five,yes,0.28073286052009455
18,Alabama,SEC,Tosh Lupoi,950000.0,950000.0,209000.0,5995000.0,nan,Power Five,yes,0.15846538782318598
19,Louisville,ACC,Peter Sirmon,950000.0,950000.0,0.0,3618500.0,nan,Power Five,yes,0.26253972640596934
20,Oklahoma,Big 12,Mike Stoops,920000.0,920000.0,121800.0,4310000.0,nan,Power Five,yes,0.21345707656612528
21,Washington,Pac-12,Pete Kwiatkowski,875000.0,876500.0,91000.0,4678040.0,nan,Power Five,yes,0.18704414669391456
22,Florida State,ACC,Charles Kelly,858000.0,858000.0,150500.0,4691000.0,nan,Power Five,yes,0.18290343210402898
23,West Virginia,Big 12,Tony Gibson,850000.0,850000.0,245000.0,3107000.0,nan,Power Five,yes,0.2735757965883489
24,Georgia,SEC,Mel Tucker,850000.0,850000.0,225000.0,4565200.0,nan,Power Five,yes,0.18619118549023045
25,Georgia,SEC,Jim Chaney,850000.0,850000.0,225000.0,4565200.0,nan,Power Five,yes,0.18619118549023045
26,Kentucky,SEC,Eddie Gran,825000.0,825000.0,137500.0,4025000.0,nan,Power Five,yes,0.20496894409937888
27,Nebraska,Big Ten,Bob Diaco,825000.0,825000.0,330000.0,3725375.0,nan,Power Five,yes,0.22145421601852164
28,UCLA,Pac-12,Jedd Fisch,810000.0,810000.0,100000.0,3707500.0,nan,Power Five,yes,0.21847606203641268
29,Auburn,SEC,Chip Lindsey,800000.0,800000.0,252500.0,4875000.0,nan,Power Five,yes,0.1641025641025641
30,Arkansas,SEC,Dan Enos,800000.0,800000.0,266667.0,3947000.0,nan,Power Five,yes,0.20268558398783887
31,Texas A&M,SEC,Noel Mazzone,800000.0,800000.0,144000.0,4818000.0,nan,Power Five,yes,0.16604400166044
32,Texas,Big 12,Tim Beck,800000.0,800000.0,95000.0,4600000.0,nan,Power Five,yes,0.17391304347826086
33,Georgia Tech,ACC,Ted Roof,800000.0,800000.0,116667.0,2916515.0,nan,Power Five,yes,0.2742999778845643
34,Clemson,ACC,Jeff Scott,800000.0,800000.0,95000.0,5725000.0,nan,Power Five,yes,0.13973799126637554
