rank,school,conf,astcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
1,Texas A&M,SEC,John Chavis,1558000.0,,1558000.0,180000.0,4811000.0,Power Five,yes,0.3238411972562877
2,Clemson,ACC,Brent Venables,1431250.0,,1431250.0,95000.0,5390417.0,Power Five,yes,0.2655174915039041
3,Alabama,SEC,Lane Kiffin,1400000.0,,1400000.0,306000.0,5320000.0,Power Five,yes,0.2631578947368421
4,LSU,SEC,Dave Aranda,1315000.0,,1315000.0,125000.0,5781500.0,Power Five,yes,0.2274496238000519
5,Louisville,ACC,Todd Grantham,1300000.0,2000.0,1302000.0,108333.0,3839500.0,Power Five,yes,0.3385857533533012
6,LSU,SEC,Cam Cameron,1200000.0,11000.0,1211000.0,125000.0,5781500.0,Power Five,yes,0.20755859206088387
7,Baylor,Big 12,Phil Bennett,1199848.0,2250.0,1202098.0,,,Power Five,no,
8,Tennessee,SEC,Bob Shoop,1155000.0,0.0,1155000.0,276000.0,4545700.0,Power Five,yes,0.2540862793409156
9,Notre Dame,Ind.,Brian VanGorder,1106156.0,0.0,1106156.0,,,Others,yes,
10,Auburn,SEC,Kevin Steele,1100000.0,0.0,1100000.0,102500.0,4456250.0,Power Five,yes,0.24684431977559607
11,Florida,SEC,Geoff Collins,1051500.0,0.0,1051500.0,236000.0,4530709.0,Power Five,yes,0.23208288150927373
12,Alabama,SEC,Jeremy Pruitt,1000000.0,,1000000.0,220000.0,5320000.0,Power Five,yes,0.18796992481203006
13,Texas A&M,SEC,Noel Mazzone,965000.0,,965000.0,144000.0,4811000.0,Power Five,yes,0.20058199958428602
14,Virginia Tech,ACC,Bud Foster,925000.0,11000.0,936000.0,92500.0,3359000.0,Power Five,yes,0.27537957725513545
15,Oklahoma,Big 12,Mike Stoops,900000.0,5400.0,905400.0,119000.0,4390900.0,Power Five,yes,0.20496936846660138
16,Oklahoma,Big 12,Lincoln Riley,900000.0,5000.0,905000.0,119000.0,4390900.0,Power Five,yes,0.20496936846660138
17,Michigan,Big Ten,Don Brown,880000.0,,880000.0,141667.0,4308750.0,Power Five,yes,0.20423556715984914
18,Georgia,SEC,Jim Chaney,850000.0,,850000.0,225000.0,4675000.0,Power Five,yes,0.18181818181818182
19,Michigan,Big Ten,Tim Drevno,850000.0,,850000.0,133333.0,4308750.0,Power Five,yes,0.19727299100667248
