rank,school,conf,headcoach,schoolpay,totalpay,maxbonus,bonusespaid,stafftotal,buyout,category,complete,proportion
1,Alabama,SEC,Nick Saban,11132000.0,11132000.0,700000.0,550000.0,5995000.0,26900000,Power Five,yes,1.8568807339449542
2,Clemson,ACC,Dabo Swinney,8504600.0,8526800.0,1000000.0,1525000.0,5725000.0,40000000,Power Five,yes,1.485519650655022
3,Michigan,Big Ten,Jim Harbaugh,7004000.0,7004000.0,1325000.0,200000.0,5645000.0,20555556,Power Five,yes,1.2407440212577503
4,Ohio State,Big Ten,Urban Meyer,6431240.0,6431240.0,775000.0,300000.0,4485000.0,21345100,Power Five,yes,1.4339442586399107
5,Arizona,Pac-12,Rich Rodriguez,5631563.0,6031563.0,2025000.0,25000.0,2730000.0,6487500,Power Five,yes,2.06284358974359
6,Florida State,ACC,Jimbo Fisher,5700000.0,5700000.0,1475000.0,200000.0,4691000.0,39312500,Power Five,yes,1.2150927307610317
7,Stanford,Pac-12,David Shaw,5680441.0,5680441.0,,,,nan,Power Five,yes,
8,Texas,Big 12,Tom Herman,5486316.0,5486316.0,725000.0,,4600000.0,20416667,Power Five,yes,1.1926773913043478
9,Texas Christian,Big 12,Gary Patterson,5104077.0,5104077.0,,,,nan,Power Five,yes,
10,Texas A&M,SEC,Kevin Sumlin,5000000.0,5000000.0,1050000.0,100000.0,4818000.0,10416667,Power Five,yes,1.03777501037775
11,Auburn,SEC,Gus Malzahn,4725000.0,4726960.0,1400000.0,275000.0,4875000.0,6898958,Power Five,yes,0.9692307692307692
12,Penn State,Big Ten,James Franklin,4600000.0,4600000.0,1000000.0,900000.0,,21858333,Power Five,yes,
13,Iowa,Big Ten,Kirk Ferentz,4550000.0,4550000.0,2875000.0,600000.0,3870000.0,22537500,Power Five,yes,1.1757105943152455
14,Mississippi State,SEC,Dan Mullen,4500000.0,4500000.0,1150000.0,150000.0,3195000.0,nan,Power Five,yes,1.408450704225352
15,Florida,SEC,Jim McElwain,4457400.0,4457400.0,925000.0,300000.0,4997825.0,12916668,Power Five,yes,0.8918679625637153
16,Michigan State,Big Ten,Mark Dantonio,4380492.0,4390492.0,650000.0,0.0,3529120.0,7000000,Power Five,yes,1.2412420093394387
17,Arkansas,SEC,Bret Bielema,4200000.0,4245000.0,1000000.0,125000.0,3947000.0,5874227,Power Five,yes,1.064099315936154
18,Oklahoma State,Big 12,Mike Gundy,4200000.0,4200000.0,900000.0,62500.0,3641314.0,13800000,Power Five,yes,1.1534297783712144
19,Washington,Pac-12,Chris Petersen,4125000.0,4127500.0,1050000.0,675000.0,4678040.0,30671875,Power Five,yes,0.8817795486998828
20,Tennessee,SEC,Butch Jones,4110000.0,4110000.0,1000000.0,250000.0,4655400.0,8125000,Power Five,yes,0.882845727542209
21,Louisville,ACC,Bobby Petrino,3930434.0,3930434.0,1468750.0,989584.0,3618500.0,13943750,Power Five,yes,1.08620533370181
22,Kentucky,SEC,Mark Stoops,3750000.0,3763600.0,3100000.0,425000.0,4025000.0,14765625,Power Five,yes,0.9316770186335404
23,Georgia,SEC,Kirby Smart,3753600.0,3753600.0,1800000.0,75000.0,4565200.0,10800000,Power Five,yes,0.8222202751248576
24,Utah,Pac-12,Kyle Whittingham,3687917.0,3687917.0,935000.0,330833.0,3125000.0,12250000,Power Five,yes,1.18013344
