rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,bonusespaid,stafftotal,category,complete,proportion
1,Michigan,Big Ten,Jim Harbaugh,9004000.0,,9004000.0,1325000.0,0.0,4308750.0,Power Five,yes,2.0897011894400928
2,Alabama,SEC,Nick Saban,6939395.0,,6939395.0,700000.0,625000.0,5320000.0,Power Five,yes,1.3043975563909775
3,Ohio State,Big Ten,Urban Meyer,6003000.0,91800.0,6094800.0,775000.0,250000.0,4583100.0,Power Five,yes,1.3098121358905543
4,Oklahoma,Big 12,Bob Stoops,5550000.0,0.0,5550000.0,834000.0,333000.0,4390900.0,Power Five,yes,1.2639777722107086
5,Florida State,ACC,Jimbo Fisher,5250000.0,,5250000.0,1475000.0,100000.0,4586000.0,Power Five,yes,1.144788486698648
6,Texas,Big 12,Charlie Strong,5200000.0,130.0,5200130.0,1006000.0,0.0,4546250.0,Power Five,yes,1.1437998350288698
7,Texas A&M,SEC,Kevin Sumlin,5000000.0,,5000000.0,1350000.0,50000.0,4811000.0,Power Five,yes,1.0392849719393058
8,Auburn,SEC,Gus Malzahn,4725000.0,4500.0,4729500.0,1400000.0,125000.0,4456250.0,Power Five,yes,1.0603085553997196
9,Mississippi,SEC,Hugh Freeze,4700000.0,3500.0,4703500.0,1225000.0,300000.0,4261700.0,Power Five,yes,1.1028462820001408
10,Iowa,Big Ten,Kirk Ferentz,4500000.0,0.0,4500000.0,2875000.0,900000.0,3610000.0,Power Five,yes,1.2465373961218837
11,Penn State,Big Ten,James Franklin,4500000.0,,4500000.0,1000000.0,200000.0,,Power Five,yes,
12,Clemson,ACC,Dabo Swinney,4417500.0,5200.0,4422700.0,1725000.0,1100000.0,5390417.0,Power Five,yes,0.8195098820740585
13,LSU,SEC,Les Miles,4300000.0,85567.0,4385567.0,700000.0,100000.0,5781500.0,Power Five,yes,0.7437516215515004
14,Michigan State,Big Ten,Mark Dantonio,4300000.0,0.0,4300000.0,650000.0,475000.0,3445098.0,Power Five,yes,1.2481502703261271
15,Florida,SEC,Jim McElwain,4268325.0,0.0,4268325.0,450000.0,100000.0,4530709.0,Power Five,yes,0.9420876511821881
16,Mississippi State,SEC,Dan Mullen,4200000.0,0.0,4200000.0,900000.0,200000.0,3295000.0,Power Five,yes,1.274658573596358
17,Arkansas,SEC,Bret Bielema,4100000.0,45000.0,4145000.0,1000000.0,100000.0,3893100.0,Power Five,yes,1.0531453083660836
18,Tennessee,SEC,Butch Jones,4110000.0,,4110000.0,1000000.0,350000.0,4545700.0,Power Five,yes,0.9041511758365048
19,Stanford,Pac-12,David Shaw,4067219.0,,4067219.0,,,,Power Five,yes,
20,Texas Christian,Big 12,Gary Patterson,4014723.0,,4014723.0,,,,Power Five,yes,
21,Louisville,ACC,Bobby Petrino,3880434.0,30000.0,3910434.0,1464583.0,794667.0,3839500.0,Power Five,yes,1.010661284021357
22,Oklahoma State,Big 12,Mike Gundy,3775000.0,,3775000.0,550000.0,100000.0,3283999.0,Power Five,yes,1.1495131393158158
23,Georgia,SEC,Kirby Smart,3753600.0,,3753600.0,1800000.0,,4675000.0,Power Five,yes,0.8029090909090909
24,Utah,Pac-12,Kyle Whittingham,3650000.0,,3650000.0,935000.0,334167.0,2900000.0,Power Five,yes,1.2586206896551724
25,Washington,Pac-12,Chris Petersen,3600000.0,5847.0,3605847.0,1175000.0,150000.0,3553578.0,Power Five,yes,1.013063453229393
26,Kentucky,SEC,Mark Stoops,3500000.0,13600.0,3513600.0,2800000.0,50000.0,3403900.0,Power Five,yes,1.0282323217485825
27,UCLA,Pac-12,Jim Mora,3450000.0,0.0,3450000.0,1065000.0,120000.0,3955000.0,Power Five,yes,0.8723135271807838
28,Northwestern,Big Ten,Pat Fitzgerald,3350638.0,,3350638.0,,,,Power Five,yes,
29,Oregon,Pac-12,Mark Helfrich,3300000.0,12700.0,3312700.0,1635000.0,150000.0,3622484.0,Power Five,yes,0.9109771085255312
30,Texas Tech,Big 12,Kliff Kingsbury,3306575.0,0.0,3306575.0,1500000.0,50000.0,2511800.0,Power Five,yes,1.3164165140536668
31,Virginia,ACC,Bronco Mendenhall,3275000.0,,3275000.0,2445000.0,,3030000.0,Power Five,yes,1.0808580858085808
32,Virginia Tech,ACC,Justin Fuente,3200000.0,,3200000.0,400000.0,,3359000.0,Power Five,yes,0.9526644834772253
33,Kansas State,Big 12,Bill Snyder,3100000.0,6000.0,3106000.0,580000.0,50000.0,3203525.0,Power Five,yes,0.9676840355545844
34,Arizona State,Pac-12,Todd Graham,3100000.0,3438.0,3103438.0,3823000.0,375000.0,3255000.0,Power Five,yes,0.9523809523809523
35,Houston,AAC,Tom Herman,3000000.0,3500.0,3003500.0,447500.0,137500.0,2419000.0,Others,yes,1.2401818933443571
36,South Carolina,SEC,Will Muschamp,3000000.0,2500.0,3002500.0,1075000.0,,3952400.0,Power Five,yes,0.7590324865904261
37,West Virginia,Big 12,Dana Holgorsen,2980000.0,0.0,2980000.0,600000.0,60000.0,2686025.0,Power Five,yes,1.1094461146117405
38,Washington State,Pac-12,Mike Leach,2950000.0,0.0,2950000.0,725000.0,100000.0,2662000.0,Power Five,yes,1.1081893313298272
39,California,Pac-12,Sonny Dykes,2900000.0,8000.0,2908000.0,800000.0,50000.0,2675600.0,Power Five,yes,1.083869038720287
40,Georgia Tech,ACC,Paul Johnson,2884361.0,2000.0,2886361.0,1050000.0,235000.0,2534515.0,Power Five,yes,1.1380327202640348
41,Arizona,Pac-12,Rich Rodriguez,2500000.0,360000.0,2860000.0,2025000.0,50000.0,2834900.0,Power Five,yes,0.8818653215280963
42,Nebraska,Big Ten,Mike Riley,2800000.0,,2800000.0,950000.0,0.0,3758626.0,Power Five,yes,0.744953075937856
43,Wisconsin,Big Ten,Paul Chryst,2700000.0,6200.0,2706200.0,440000.0,100000.0,2862520.0,Power Five,yes,0.9432248508307366
44,Vanderbilt,SEC,Derek Mason,2556877.0,,2556877.0,,,,Power Five,yes,
45,Oregon State,Pac-12,Gary Andersen,2550000.0,,2550000.0,525000.0,0.0,2736691.0,Power Five,yes,0.9317822143603351
46,Maryland,Big Ten,DJ Durkin,2412000.0,,2412000.0,625000.0,,2907500.0,Power Five,yes,0.8295786758383491
47,Missouri,SEC,Barry Odom,2350000.0,,2350000.0,1025000.0,,3801800.0,Power Five,yes,0.6181282550370877
48,Boston College,ACC,Steve Addazio,2333628.0,,2333628.0,,,,Power Five,yes,
49,Duke,ACC,David Cutcliffe,2320773.0,,2320773.0,,,,Power Five,yes,
50,Indiana,Big Ten,Kevin Wilson,2320000.0,,2320000.0,1130000.0,175000.0,2751661.0,Power Five,yes,0.8431271148589888
51,North Carolina State,ACC,Dave Doeren,2200000.0,,2200000.0,1750000.0,125000.0,2966365.0,Power Five,yes,0.7416484485220126
52,Cincinnati,AAC,Tommy Tuberville,2200000.0,,2200000.0,565000.0,70000.0,2140000.0,Others,yes,1.02803738317757
53,Purdue,Big Ten,Darrell Hazell,2190000.0,,2190000.0,1545000.0,120000.0,2495000.0,Power Five,yes,0.8777555110220441
54,Wake Forest,ACC,Dave Clawson,2113166.0,,2113166.0,,,,Power Five,yes,
55,Colorado,Pac-12,Mike MacIntyre,2011050.0,400.0,2011450.0,1500000.0,300000.0,2661601.0,Power Five,yes,0.7555790668849313
56,Iowa State,Big 12,Matt Campbell,2000000.0,,2000000.0,900000.0,,2318250.0,Power Five,yes,0.8627197239296883
57,Rutgers,Big Ten,Chris Ash,2000000.0,,2000000.0,960000.0,,2340000.0,Power Five,yes,0.8547008547008547
58,Navy,AAC,Ken Niumatalolo,2000000.0,,2000000.0,,,,Others,yes,
