rank,school,conf,strengthcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
1.0,Iowa,Big Ten,Chris Doyle,625000.0,204.0,625204.0,0.0,3610000.0,Power Five,yes,0.1731301939058172
2.0,Alabama,SEC,Scott Cochran,525000.0,,525000.0,115500.0,5320000.0,Power Five,yes,0.09868421052631579
3.0,Ohio State,Big Ten,Mickey Marotti,520500.0,0.0,520500.0,197370.0,4583100.0,Power Five,yes,0.11356941807946587
4.0,UCLA,Pac-12,Sal Alosi,410000.0,0.0,410000.0,100000.0,3955000.0,Power Five,yes,0.10366624525916561
5.0,South Carolina,SEC,Jeff Dillman,400000.0,,400000.0,115000.0,3952400.0,Power Five,yes,0.10120433154539014
6.0,Oklahoma State,Big 12,Rob Glass,395000.0,,395000.0,90833.0,3283999.0,Power Five,yes,0.12028018278933703
7.0,Mississippi,SEC,Paul Jackson,375000.0,0.0,375000.0,45000.0,4261700.0,Power Five,yes,0.08799305441490485
8.0,Clemson,ACC,Joey Batson,368833.0,,368833.0,95000.0,5390417.0,Power Five,yes,0.0684238343712555
9.0,Florida State,ACC,Vic Viloria,362000.0,,362000.0,65333.0,4586000.0,Power Five,yes,0.07893589184474488
10.0,Missouri,SEC,Rohrk Cutchlow,360000.0,,360000.0,115800.0,3801800.0,Power Five,yes,0.09469198800568152
11.0,Texas,Big 12,Pat Moorer,350000.0,0.0,350000.0,155000.0,4546250.0,Power Five,yes,0.0769865273577124
12.0,Arkansas,SEC,Ben Herbert,340000.0,2000.0,342000.0,113333.0,3893100.0,Power Five,yes,0.08733400118157766
13.0,LSU,SEC,Tommy Moffitt,330000.0,0.0,330000.0,75000.0,5781500.0,Power Five,yes,0.05707861281674306
14.0,Oklahoma,Big 12,Jerry Schmidt,330000.0,0.0,330000.0,72916.0,4390900.0,Power Five,yes,0.0751554351044205
15.0,Texas A&M,SEC,Larry Jackson,315000.0,,315000.0,75600.0,4811000.0,Power Five,yes,0.06547495323217627
16.0,Kansas State,Big 12,Chris Dawson,310000.0,200.0,310200.0,119200.0,3203525.0,Power Five,yes,0.09676840355545845
17.0,Washington,Pac-12,Tim Socha,285000.0,7500.0,292500.0,96000.0,3553578.0,Power Five,yes,0.08020085671399362
18.0,Auburn,SEC,Ryan Russell,285000.0,1250.0,286250.0,111250.0,4456250.0,Power Five,yes,0.06395511921458626
19.0,Maryland,Big Ten,Rick Court,285000.0,,285000.0,55000.0,2907500.0,Power Five,yes,0.09802235597592433
20.0,Michigan State,Big Ten,Ken Mannie,271781.0,2450.0,274231.0,94078.0,3445098.0,Power Five,yes,0.07888919270221051
21.0,East Carolina,AAC,Jeff Connors,270361.0,1500.0,271861.0,5000.0,1701500.0,Others,yes,0.15889568028210402
22.0,Houston,AAC,Yancy McKnight,263550.0,,263550.0,44804.0,2419000.0,Others,yes,0.10894997933030177
23.0,Rutgers,Big Ten,Kenny Parker,260000.0,,260000.0,0.0,2340000.0,Power Five,yes,0.1111111111111111
24.0,Arizona State,Pac-12,Shawn Griswold,255000.0,,255000.0,92414.0,3255000.0,Power Five,yes,0.07834101382488479
25.0,Washington State,Pac-12,Jason Lascalzo,251500.0,0.0,251500.0,0.0,2662000.0,Power Five,yes,0.0944778362133734
26.0,Michigan,Big Ten,Kevin Tolbert,250000.0,,250000.0,41667.0,4308750.0,Power Five,yes,0.05802146794313896
27.0,Minnesota,Big Ten,Eric Klein,246840.0,,246840.0,71710.0,2932000.0,Power Five,yes,0.08418826739427013
28.0,Wisconsin,Big Ten,Ross Kolodziej,240000.0,835.0,240835.0,93600.0,2862520.0,Power Five,yes,0.08384220896273213
29.0,Kentucky,SEC,Corey Edmond,240000.0,700.0,240700.0,40000.0,3403900.0,Power Five,yes,0.07050735920561708
